1950.0	1.0	0.377	68.63
1950.0	2.0	0.246	68.63
1950.0	3.0	0.311	68.63
1950.0	4.0	0.104	68.63
1950.0	5.0	-0.016	68.63
1950.0	6.0	0.235	68.63
1950.0	7.0	0.137	59.16
1950.0	8.0	0.191	48.7
1950.0	9.0	-0.016	47.54
1950.0	10.0	0.29	50.91
1950.0	11.0	0.038	44.7
1950.0	12.0	-0.016	42.85
1951.0	1.0	-0.158	39.62
1951.0	2.0	0.366	44.45
1951.0	3.0	0.607	38.98
1951.0	4.0	-0.355	42.62
1951.0	5.0	-0.18	48.27
1951.0	6.0	0.268	59.39
1951.0	7.0	0.093	51.66
1951.0	8.0	0.027	38.55
1951.0	9.0	0.246	60.33
1951.0	10.0	0.202	72.27
1951.0	11.0	0.432	68.62
1951.0	12.0	0.617	69.63
1952.0	1.0	0.76	72.2
1952.0	2.0	0.891	67.87
1952.0	3.0	0.607	64.91001
1952.0	4.0	0.574	53.85
1952.0	5.0	0.005	37.96
1952.0	6.0	0.475	23.23
1952.0	7.0	0.202	12.68
1952.0	8.0	-0.027	9.84
1952.0	9.0	-0.038	7.82
1952.0	10.0	0.716	11.78
1952.0	11.0	0.836	10.22
1952.0	12.0	0.891	12.19
1953.0	1.0	0.53	18.6
1953.0	2.0	0.53	26.97
1953.0	3.0	0.377	22.52
1953.0	4.0	-0.235	19.18
1953.0	5.0	-0.585	17.14
1953.0	6.0	-0.18	18.61
1953.0	7.0	-0.53	20.02
1953.0	8.0	-0.464	22.65
1953.0	9.0	-0.443	38.99
1953.0	10.0	0.049	76.55
1953.0	11.0	0.454	87.99
1953.0	12.0	0.257	99.8
1954.0	1.0	0.41	96.69
1954.0	2.0	0.224	87.45
1954.0	3.0	0.148	88.57
1954.0	4.0	-0.432	97.43
1954.0	5.0	-0.093	99.99
1954.0	6.0	-0.268	94.88
1954.0	7.0	0.158	86.99
1954.0	8.0	-0.06	79.73001
1954.0	9.0	-0.399	92.35
1954.0	10.0	0.235	91.29
1954.0	11.0	0.366	94.31
1954.0	12.0	0.202	84.95
1955.0	1.0	0.344	82.97
1955.0	2.0	-0.038	92.98001
1955.0	3.0	0.29	81.06
1955.0	4.0	-0.126	62.37
1955.0	5.0	-0.366	52.99
1955.0	6.0	-0.115	39.53
1955.0	7.0	-0.301	42.9
1955.0	8.0	-0.486	33.76
1955.0	9.0	-0.137	40.97
1955.0	10.0	0.738	60.5
1955.0	11.0	0.366	66.61
1955.0	12.0	0.366	80.38
1956.0	1.0	0.65	95.86
1956.0	2.0	0.628	97.74
1956.0	3.0	0.126	80.24
1956.0	4.0	0.169	73.44
1956.0	5.0	0.137	65.67
1956.0	6.0	-0.257	47.81
1956.0	7.0	0.169	33.51
1956.0	8.0	-0.093	34.22
1956.0	9.0	0.475	32.95
1956.0	10.0	0.639	32.55
1956.0	11.0	0.596	46.92
1956.0	12.0	0.749	44.64
1957.0	1.0	0.191	53.02
1957.0	2.0	1.0	41.98
1957.0	3.0	0.486	30.43
1957.0	4.0	0.41	24.43
1957.0	5.0	0.158	18.05
1957.0	6.0	0.126	20.98
1957.0	7.0	0.06	12.37
1957.0	8.0	0.246	12.03
1957.0	9.0	0.738	12.41
1957.0	10.0	0.803	15.89
1957.0	11.0	0.421	20.46
1957.0	12.0	0.617	26.95
1958.0	1.0	0.705	30.29
1958.0	2.0	0.639	26.21
1958.0	3.0	0.454	23.34
1958.0	4.0	0.311	25.55
1958.0	5.0	0.355	25.4
1958.0	6.0	-0.158	24.16
1958.0	7.0	-0.038	23.34
1958.0	8.0	0.115	24.38
1958.0	9.0	0.137	27.2
1958.0	10.0	0.257	29.18
1958.0	11.0	0.115	43.3
1958.0	12.0	0.038	53.92
1959.0	1.0	0.082	59.76
1959.0	2.0	0.148	64.52
1959.0	3.0	0.06	65.84
1959.0	4.0	-0.191	70.19
1959.0	5.0	-0.607	75.27
1959.0	6.0	-0.585	77.63
1959.0	7.0	-0.268	76.96
1959.0	8.0	-0.093	77.7
1959.0	9.0	-0.093	85.13
1959.0	10.0	0.257	99.33999
1959.0	11.0	-0.005	97.7
1959.0	12.0	0.224	97.01999
1960.0	1.0	0.169	98.83
1960.0	2.0	0.432	99.8
1960.0	3.0	0.202	96.74
1960.0	4.0	-0.366	93.54
1960.0	5.0	-0.661	82.08
